Desconto,Lucro
0.0,762.1845
0.1,-288.765
0.1,919.971
0.1,-96.54
0.0,311.52
0.1,763.275
0.0,564.84
0.0,996.48
0.2,1906.485
0.4,-1862.3124
0.0,83.281
0.0,647.55
0.0,1151.4
0.0,622.02
0.0,1036.08
0.1,186.948
0.0,517.4793
0.0,3979.08
0.1,28.404
0.0,818.28
0.0,276.84
0.2,341.994
0.0,358.02
0.0,1898.4
0.0,445.52
0.2,526.496
0.0,720.36
0.1,1364.238
0.2,363.9048
0.0,582.36
0.2,-148.46
0.15,763.155
0.3,-350.49
0.1,561.48
0.2,135.4068
0.0,1068.66
0.0,1371.9804
0.5,-3839.9904
0.0,1697.67
0.1,511.095
0.17,-77.2038
0.0,632.52
0.0,2097.03
0.0,404.73
0.2,377.244
0.0,4630.4755
0.1,720.75
0.0,110.34
0.0,500.01
0.0,868.12
0.2,1143.891
0.0,527.04
0.2,839.986
0.0,153.75
0.0,593.88
0.0,732.72
0.0,1480.4671
0.0,226.86
0.1,1164.267
0.2,327.5922
0.0,581.91
0.0,2229.024
0.0,313.11
0.0,225.18
0.0,656.37
0.0,694.5015
0.0,1050.15
0.0,652.92
0.0,119.28
0.0,130.08
0.0,1055.25
0.0,121.94
0.0,1523.52
0.47,-452.8104
0.1,38.07
0.1,858.9
0.0,3177.475
0.0,728.7
0.0,1183.95
0.0,91.95
0.1,63.546
0.0,2597.28
0.0,2504.2216
0.3,-630.882
0.0,965.85
0.17,-269.7912
0.0,113.28
0.1,1124.901
0.0,1192.86
0.0,0.0
0.0,498.33
0.0,320.3172
0.1,513.36
0.0,1159.02
0.25,197.19
0.0,738.96
0.0,927.78
0.1,96.39
0.15,-0.054
0.1,34.944
0.0,1465.2
0.1,861.372
0.15,790.416
0.0,178.92
0.0,308.4
0.15,1517.712
0.0,366.6348
0.0,914.76
0.1,747.816
0.5,-2211.165
0.0,2365.9818
0.5,-1783.08
0.0,261.24
0.1,587.19
0.0,367.08
0.2,334.4985
0.0,589.2
0.0,327.9458
0.1,1868.13
0.0,116.4
0.1,258.93
0.0,2239.9872
0.0,4946.37
0.1,-37.83
0.15,-265.761
0.0,312.66
0.0,493.7856
0.4,1119.9968
0.0,260.6112
0.002,508.00876
0.0,572.55
0.0,1025.46
0.07,140.8248
0.17,946.6338
0.2,100.196
0.07,156.402
0.0,785.82
0.5,-286.92
0.0,673.8816
0.2,503.64
0.0,988.12
0.0,534.24
0.0,268.38
0.2,256.784
0.17,210.8568
0.1,747.612
0.0,174.15
0.1,321.84
0.1,-214.725
0.0,523.08
0.5,-1784.895
0.1,296.658
0.0,36.0
0.1,679.996
0.1,160.605
0.0,848.4
0.32,-317.1528
0.2,38.948
0.0,2400.9657
0.0,887.6
0.0,1080.18
0.0,1444.59
0.0,1146.24
0.0,311.85
0.1,674.163
0.0,244.6155
0.07,125.1216
0.27,-128.7198
0.1,1758.888
0.17,-0.024
0.1,-36.39
0.7,-6599.978
0.17,-0.024
0.0,647.892
0.3,-740.295
0.1,127.134
0.0,488.6
0.0,744.48
0.0,139.32
0.5,-944.9946
0.0,629.28
0.15,664.719
0.35,-754.4145
0.0,1439.976
0.0,1440.24
0.15,745.875
0.3,204.282
0.0,1267.77
0.47,-140.715
0.0,1424.85
0.0,1069.2
0.1,591.045
0.0,2071.44
0.2,1644.2913
0.17,539.4432
0.2,257.5944
0.1,134.304
0.0,792.2691
0.1,1644.03
0.1,-11.934
0.0,0.0
0.1,162.12
0.0,129.294
0.15,-84.3705
0.0,779.52
0.0,1470.21
0.0,1668.205
0.0,481.869
0.2,-332.28
0.0,352.3065
0.0,0.0
0.1,760.305
0.2,-219.1644
0.0,570.9
